Song,Performer,SongID,Year,Peak Position,Artist_Name
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2007,33.0,Pebbles
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2007,33.0,Bobby Brown
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2008,33.0,Bow Wow
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2008,33.0,Avril Lavigne
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2008,33.0,B2K
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2008,33.0,NSync
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2008,33.0,Pebbles
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2008,33.0,Bobby Brown
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,I Need A DoctorDr. Dre Featuring Eminem & Skylar Grey,2011,4.0,Dr. Dre
I'll Stand By You,Carrie Underwood,I'll Stand By YouCarrie Underwood,2007,6.0,Glee Cast
I'll Stand By You,Carrie Underwood,I'll Stand By YouCarrie Underwood,2007,6.0,Carrie Underwood
I'll Stand By You,Carrie Underwood,I'll Stand By YouCarrie Underwood,2007,6.0,Pretenders
I'll Stand By You,Glee Cast,I'll Stand By YouGlee Cast,2009,73.0,Glee Cast
I'll Stand By You,Glee Cast,I'll Stand By YouGlee Cast,2009,73.0,Carrie Underwood
I'll Stand By You,Glee Cast,I'll Stand By YouGlee Cast,2009,73.0,Pretenders
New Divide,Linkin Park,New DivideLinkin Park,2009,6.0,Linkin Park
Loser Like Me,Glee Cast,Loser Like MeGlee Cast,2011,6.0,Glee Cast
No Sleep,Wiz Khalifa,No SleepWiz Khalifa,2011,6.0,Wiz Khalifa
Keeps Gettin' Better,Christina Aguilera,Keeps Gettin' BetterChristina Aguilera,2008,7.0,Christina Aguilera
Keeps Gettin' Better,Christina Aguilera,Keeps Gettin' BetterChristina Aguilera,2009,7.0,Christina Aguilera
Just A Kiss,Lady Antebellum,Just A KissLady Antebellum,2011,7.0,Lady Antebellum
Just A Kiss,Lady Antebellum,Just A KissLady Antebellum,2012,7.0,Lady Antebellum
Get Over Yourself,Eden's Crush,Get Over YourselfEden's Crush,2001,8.0,Eden's Crush
Never Again,Kelly Clarkson,Never AgainKelly Clarkson,2007,8.0,Kelly Clarkson
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",2009,8.0,Drake
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",2009,8.0,Rascal Flatts
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",2009,8.0,Chris Brown
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",2009,8.0,Papa Roach
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",2009,8.0,Kiss
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",2009,8.0,Kenny Loggins
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",2009,8.0,Little Steven
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",2009,8.0,Mercy
